iter	MultiClass
0	1.091087878
1	1.084204115
2	1.078040337
3	1.07234296
4	1.066893138
5	1.061262296
6	1.056238276
7	1.051664292
8	1.047215641
9	1.042830209
10	1.038775556
11	1.035492223
12	1.031834267
13	1.028393992
14	1.025213921
15	1.022028703
16	1.019359542
17	1.016789996
18	1.014298047
19	1.011796194
20	1.009484349
21	1.006806639
22	1.00473295
23	1.002738515
24	1.000862658
25	0.9989593984
26	0.9974519742
27	0.9958242917
28	0.9943760226
29	0.9927519408
30	0.9914670855
31	0.9901828894
32	0.9890374777
33	0.9876834842
34	0.9863030078
35	0.984587546
36	0.9831104924
37	0.9820175343
38	0.980786414
39	0.9794556034
40	0.9778538647
41	0.9767784886
42	0.9759570011
43	0.9751067794
44	0.9740734489
45	0.9727639001
46	0.9718609856
47	0.9708943435
48	0.9698790019
49	0.9685446436
50	0.9677707192
51	0.9670467484
52	0.9657169342
53	0.9643590328
54	0.9631224295
55	0.9621534464
56	0.9609479091
57	0.9599932646
58	0.9590515207
59	0.9583205133
60	0.9573224632
61	0.9565008872
62	0.9551749095
63	0.953786751
64	0.952652142
65	0.9519315446
66	0.9509161306
67	0.9500233033
68	0.949081068
69	0.9479401321
70	0.9473230163
71	0.9466564259
72	0.945691351
73	0.9444545486
74	0.943473943
75	0.9421232751
76	0.9411160526
77	0.9403427645
78	0.9393283497
79	0.9375418359
80	0.9365579617
81	0.9351003806
82	0.9339040541
83	0.9334425661
84	0.9323568512
85	0.9318266017
86	0.9311116073
87	0.9306102164
88	0.9298816543
89	0.9287120145
90	0.9281881009
91	0.9268541284
92	0.9263199228
93	0.9254902744
94	0.9248014073
95	0.9239362201
96	0.9232108616
97	0.9220721345
98	0.921094138
99	0.9203847476
100	0.919513887
101	0.9185559618
102	0.9174974734
103	0.9162584711
104	0.9151469129
105	0.9141176854
106	0.913612428
107	0.9129029895
108	0.9123767165
109	0.9117202923
110	0.9112022952
111	0.9103175145
112	0.9093193356
113	0.9088668558
114	0.9080428178
115	0.9071597048
116	0.9064472432
117	0.9055194885
118	0.9046532432
119	0.904112362
120	0.9029135285
121	0.9021418343
122	0.9009529649
123	0.9003448308
124	0.8996366227
125	0.8987564111
126	0.8979939852
127	0.8969630043
128	0.8958803146
129	0.8948408808
130	0.8937434677
131	0.8932013444
132	0.8925013403
133	0.892127983
134	0.8912187948
135	0.8902463776
136	0.8894020909
137	0.8887739364
138	0.8879714631
139	0.8872754084
140	0.8866378882
141	0.8860393527
142	0.8853569052
143	0.8845942217
144	0.8831442736
145	0.8821414941
146	0.881548239
147	0.880784311
148	0.8800013437
149	0.8796351264
150	0.879010938
151	0.8784421061
152	0.8777922345
153	0.8769964566
154	0.8760469619
155	0.8751274908
156	0.8745015144
157	0.8740621726
158	0.8731607934
159	0.8726575464
160	0.8720429766
161	0.8714686288
162	0.8709540774
163	0.8704622258
164	0.8697942476
165	0.8687874819
166	0.8681892884
167	0.8675330594
168	0.8664110192
169	0.8659126822
170	0.864916656
171	0.8645272588
172	0.8637529564
173	0.8630975637
174	0.8623394011
175	0.8615656981
176	0.8609586107
177	0.8600963543
178	0.8593411217
179	0.8585900558
180	0.8579693561
181	0.8572465671
182	0.8563951136
183	0.8556165794
184	0.8546324235
185	0.8540429475
186	0.8534932591
187	0.8529086695
188	0.8520349144
189	0.8510826343
190	0.850148785
191	0.8495674918
192	0.8487552265
193	0.8482413325
194	0.8473464408
195	0.8464762555
196	0.8460376985
197	0.8455362475
198	0.8445649411
199	0.8439650166
200	0.8427423925
201	0.8417016325
202	0.8410763985
203	0.8400117155
204	0.839589636
205	0.8388729514
206	0.8376561928
207	0.836795525
208	0.8359389159
209	0.8351993277
210	0.8343533433
211	0.8336783568
212	0.8326319018
213	0.8313675108
214	0.8303328615
215	0.8294894438
216	0.8284095985
217	0.827693004
218	0.8271727573
219	0.8267087483
220	0.8262790523
221	0.8255890115
222	0.8247820902
223	0.8234610262
224	0.8227286681
225	0.8217358736
226	0.8203648415
227	0.8196263074
228	0.8187665659
229	0.8179872521
230	0.8166636502
231	0.816162342
232	0.8152963447
233	0.8146105551
234	0.8137977517
235	0.8125846358
236	0.8118186211
237	0.8110280645
238	0.8103399517
239	0.8095975668
240	0.8090900429
241	0.8077176966
242	0.8070986578
243	0.8065056667
244	0.8055693916
245	0.8046628525
246	0.8039250264
247	0.8028483261
248	0.801844806
249	0.8012830599
250	0.8005000629
251	0.7997853686
252	0.7993084381
253	0.7986001332
254	0.7980095153
255	0.7972979522
256	0.7964301836
257	0.7958846239
258	0.7953995
259	0.7945379612
260	0.7939136105
261	0.7931089953
262	0.7920707064
263	0.790993111
264	0.7905670216
265	0.7899297895
266	0.7892506425
267	0.7883737562
268	0.7871472872
269	0.7863539169
270	0.7853443462
271	0.7843744674
272	0.7838470486
273	0.7833382822
274	0.7826343572
275	0.7820926075
276	0.7813917508
277	0.7805420396
278	0.7797838754
279	0.7789733271
280	0.7785361547
281	0.777885893
282	0.7770427589
283	0.7765762374
284	0.7760877873
285	0.7752614955
286	0.7744679409
287	0.7740070238
288	0.7732726467
289	0.7726668994
290	0.771969125
291	0.7715317365
292	0.7709018861
293	0.7702180399
294	0.7697358872
295	0.7691020977
296	0.7682129774
297	0.7674180838
298	0.7668878493
299	0.7660042269
300	0.7649831482
301	0.7641781506
302	0.7632192155
303	0.7628368798
304	0.762057537
305	0.761278962
306	0.760619477
307	0.7599180988
308	0.7590260333
309	0.758360159
310	0.7574804305
311	0.7568431247
312	0.7561278141
313	0.7555509809
314	0.7548562323
315	0.754403182
316	0.7537679044
317	0.7533245894
318	0.7525886566
319	0.7516902087
320	0.7507082295
321	0.7502759417
322	0.7497111151
323	0.7485657423
324	0.7478964856
325	0.7470631571
326	0.7465232135
327	0.7456487862
328	0.7450578107
329	0.7447992894
330	0.7442659373
331	0.7436625904
332	0.7427501761
333	0.7421325636
334	0.741352534
335	0.7408200045
336	0.7401395328
337	0.7396628519
338	0.7388994227
339	0.7380325224
340	0.7372053217
341	0.7366601124
342	0.7360054427
343	0.7353412354
344	0.7347140547
345	0.7331640624
346	0.7325371914
347	0.7318107087
348	0.7311817722
349	0.7304573027
350	0.7295244922
351	0.7288471389
352	0.7279348589
353	0.727163503
354	0.7264273958
355	0.7257482657
356	0.7248553302
357	0.7239528352
358	0.7231806943
359	0.722262592
360	0.7217271741
361	0.7212409957
362	0.7201842745
363	0.7195924293
364	0.7189375663
365	0.718306726
366	0.7176221134
367	0.716999713
368	0.7160166935
369	0.7152610266
370	0.7144826062
371	0.7137626301
372	0.7130521439
373	0.7121578403
374	0.7113502123
375	0.7106062891
376	0.7099195292
377	0.7091321498
378	0.7086208216
379	0.7079892378
380	0.7074570146
381	0.7066784583
382	0.7058366609
383	0.7051033194
384	0.7047021449
385	0.7041218074
386	0.7036638351
387	0.7027383213
388	0.7021418681
389	0.7013480824
390	0.7006728963
391	0.6999327632
392	0.6991134151
393	0.6981652138
394	0.6974471458
395	0.6970787698
396	0.6966576956
397	0.6958647213
398	0.6953959156
399	0.694788781
400	0.6939444961
401	0.6933447308
402	0.6928375718
403	0.6921187904
404	0.6912379493
405	0.6907713171
406	0.6902111836
407	0.689960998
408	0.6893497317
409	0.6886161817
410	0.6884431704
411	0.6879033225
412	0.6870959447
413	0.686448062
414	0.6858415334
415	0.6853897995
416	0.6845594714
417	0.6840818803
418	0.6832717197
419	0.6823459455
420	0.6818930652
421	0.6814178044
422	0.6808325921
423	0.6800792537
424	0.6796038133
425	0.6788493143
426	0.678449061
427	0.6776962753
428	0.6772445584
429	0.6766281215
430	0.6760145105
431	0.6753881829
432	0.674775445
433	0.6738856318
434	0.6730476986
435	0.6724968168
436	0.6718184096
437	0.6711442509
438	0.670343276
439	0.6697492729
440	0.669133315
441	0.6686266772
442	0.6679534479
443	0.667305746
444	0.6666070294
445	0.6660084595
446	0.6655876817
447	0.6648564776
448	0.6642724249
449	0.6635012301
450	0.6625260494
451	0.6621258267
452	0.6616042101
453	0.6611569762
454	0.6605788024
455	0.6601220935
456	0.6594277354
457	0.6589426196
458	0.6584292646
459	0.6578035115
460	0.6573106507
461	0.6569609481
462	0.6563952692
463	0.6558913772
464	0.6553486186
465	0.6546746013
466	0.6534478212
467	0.6530441361
468	0.6524366813
469	0.6517578605
470	0.6513158421
471	0.6506644764
472	0.6501086763
473	0.6497836235
474	0.649207886
475	0.6483587895
476	0.6479860139
477	0.6470206685
478	0.6465652154
479	0.646025173
480	0.6454870889
481	0.6451748741
482	0.6449087363
483	0.6443458525
484	0.6438701886
485	0.6433382936
486	0.6429946791
487	0.6424272347
488	0.6417810868
