iter	Passed	Remaining
0	4	2729
1	8	2520
2	12	2402
3	15	2344
4	19	2299
5	23	2285
6	26	2253
7	30	2242
8	33	2228
9	37	2228
10	41	2224
11	45	2216
12	49	2221
13	53	2221
14	57	2227
15	61	2230
16	65	2233
17	69	2239
18	73	2251
19	77	2258
20	82	2280
21	87	2307
22	92	2323
23	97	2335
24	102	2366
25	108	2401
26	114	2423
27	119	2438
28	124	2450
29	130	2470
30	135	2479
31	140	2492
32	145	2503
33	151	2523
34	156	2529
35	162	2548
36	168	2562
37	173	2570
38	179	2582
39	184	2583
40	189	2586
41	194	2588
42	200	2592
43	205	2594
44	210	2600
45	216	2607
46	222	2613
47	227	2613
48	232	2609
49	237	2608
50	242	2606
51	247	2612
52	255	2635
53	266	2697
54	274	2723
55	281	2734
56	288	2745
57	293	2746
58	300	2752
59	307	2771
60	314	2783
61	322	2796
62	330	2813
63	336	2819
64	344	2836
65	352	2848
66	359	2859
67	366	2869
68	374	2878
69	384	2914
70	395	2949
71	405	2974
72	414	2995
73	421	2998
74	429	3007
75	436	3009
76	442	3006
77	449	3006
78	455	3002
79	461	2998
80	467	2994
81	473	2989
82	478	2982
83	484	2975
84	489	2968
85	495	2963
86	502	2962
87	508	2958
88	514	2956
89	520	2951
90	526	2946
91	532	2942
92	539	2938
93	546	2939
94	553	2941
95	559	2936
96	564	2929
97	570	2921
98	574	2908
99	579	2899
100	584	2889
101	590	2884
102	595	2875
103	600	2866
104	606	2857
105	611	2850
106	617	2843
107	622	2833
108	627	2825
109	632	2817
110	638	2811
111	643	2804
112	649	2799
113	655	2792
114	660	2787
115	666	2782
116	672	2776
117	678	2770
118	683	2763
119	689	2757
120	694	2750
121	700	2744
122	706	2740
123	712	2736
124	719	2732
125	724	2724
126	730	2720
127	736	2716
128	742	2711
129	748	2705
130	753	2697
131	759	2693
132	766	2690
133	772	2685
134	778	2680
135	785	2679
136	791	2675
137	798	2672
138	805	2669
139	810	2664
140	815	2655
141	820	2647
142	825	2638
143	830	2628
144	834	2620
145	840	2612
146	844	2603
147	849	2595
148	855	2588
149	859	2579
150	864	2571
151	869	2563
152	874	2556
153	879	2547
154	884	2540
155	890	2533
156	895	2526
157	901	2521
158	907	2516
159	912	2510
160	918	2504
161	924	2498
162	929	2492
163	935	2487
164	941	2482
165	947	2476
166	952	2470
167	958	2464
168	963	2457
169	968	2450
170	973	2443
171	979	2436
172	984	2430
173	989	2423
174	995	2417
175	1002	2414
176	1008	2410
177	1015	2407
178	1021	2402
179	1027	2396
180	1033	2391
181	1038	2385
182	1043	2378
183	1048	2370
184	1053	2363
185	1058	2355
186	1063	2349
187	1069	2343
188	1074	2337
189	1080	2331
190	1085	2324
191	1090	2316
192	1094	2308
193	1099	2301
194	1104	2293
195	1109	2286
196	1113	2278
197	1118	2271
198	1123	2263
199	1127	2255
200	1132	2248
201	1137	2241
202	1142	2235
203	1148	2229
204	1154	2223
205	1159	2217
206	1164	2210
207	1169	2204
208	1174	2197
209	1179	2190
210	1185	2185
211	1190	2178
212	1195	2171
213	1200	2164
214	1205	2158
215	1210	2151
216	1215	2144
217	1219	2137
218	1225	2131
219	1231	2126
220	1236	2121
221	1242	2115
222	1247	2108
223	1252	2102
224	1257	2096
225	1262	2089
226	1267	2083
227	1273	2077
228	1278	2071
229	1283	2064
230	1288	2058
231	1293	2052
232	1298	2045
233	1304	2039
234	1308	2033
235	1313	2026
236	1319	2021
237	1324	2015
238	1330	2010
239	1337	2006
240	1343	2001
241	1350	1998
242	1356	1992
243	1360	1984
244	1365	1977
245	1369	1970
246	1373	1963
247	1378	1956
248	1383	1950
249	1389	1945
250	1394	1939
251	1400	1933
252	1405	1927
253	1410	1921
254	1416	1915
255	1421	1909
256	1426	1904
257	1431	1897
258	1436	1891
259	1441	1884
260	1445	1878
261	1451	1871
262	1456	1865
263	1460	1859
264	1466	1853
265	1471	1847
266	1476	1841
267	1481	1835
268	1486	1829
269	1492	1824
270	1497	1818
271	1502	1812
272	1507	1805
273	1512	1799
274	1517	1792
275	1522	1786
276	1526	1780
277	1531	1774
278	1536	1768
279	1541	1762
280	1546	1755
281	1552	1750
282	1557	1744
283	1562	1738
284	1567	1732
285	1572	1725
286	1577	1719
287	1582	1713
288	1587	1707
289	1592	1701
290	1596	1695
291	1601	1689
292	1607	1684
293	1613	1678
294	1618	1673
295	1624	1668
296	1629	1662
297	1635	1657
298	1641	1652
299	1647	1647
300	1653	1642
301	1659	1637
302	1664	1631
303	1668	1624
304	1673	1618
305	1677	1611
306	1682	1605
307	1686	1598
308	1690	1592
309	1695	1586
310	1700	1579
311	1704	1573
312	1709	1567
313	1714	1561
314	1718	1555
315	1723	1548
316	1727	1542
317	1732	1536
318	1737	1530
319	1742	1524
320	1746	1518
321	1751	1512
322	1756	1506
323	1761	1500
324	1768	1496
325	1774	1491
326	1779	1485
327	1784	1479
328	1789	1474
329	1794	1468
330	1799	1462
331	1803	1456
332	1808	1450
333	1814	1444
334	1819	1439
335	1824	1433
336	1829	1427
337	1833	1421
338	1838	1415
339	1843	1409
340	1848	1404
341	1854	1398
342	1859	1393
343	1864	1387
344	1869	1381
345	1874	1375
346	1879	1370
347	1884	1364
348	1890	1359
349	1895	1354
350	1901	1349
351	1907	1344
352	1913	1338
353	1918	1333
354	1925	1328
355	1930	1323
356	1936	1317
357	1941	1312
358	1946	1307
359	1951	1300
360	1956	1295
361	1961	1289
362	1965	1283
363	1970	1277
364	1975	1271
365	1979	1265
366	1984	1259
367	1988	1253
368	1993	1247
369	1998	1242
370	2003	1236
371	2007	1230
372	2012	1224
373	2017	1219
374	2022	1213
375	2027	1207
376	2032	1201
377	2036	1196
378	2041	1190
379	2046	1184
380	2051	1179
381	2056	1173
382	2061	1168
383	2066	1162
